Zone Type,Occupancy,Temperature,Humidity,Weekend,Day/Night,HVAC Status,Fan Status,Lighting Status,Energy Consumption
Corridor,76,19.32,79.26,No,Day,ON,OFF,ON,54.96
Floor,23,24.72,71.83,No,Night,ON,ON,OFF,58.77
Office,70,30.64,70.27,No,Day,ON,OFF,OFF,56.59
Corridor,18,21.61,50.96,No,Day,OFF,ON,OFF,27.71
Corridor,90,30.83,76.81,No,Day,ON,OFF,ON,65.52
Floor,49,26.99,33.14,Yes,Day,ON,ON,OFF,56.98
Office,90,23.86,36.27,No,Day,ON,OFF,ON,66.18
Office,17,24.27,42.34,No,Day,ON,OFF,OFF,39.51
Corridor,93,19.98,62.08,Yes,Day,ON,ON,ON,61.0
Meeting Hall,27,22.25,38.34,No,Day,ON,ON,ON,62.93
Corridor,28,30.43,46.8,Yes,Day,OFF,ON,OFF,37.63
Corridor,72,32.67,38.86,No,Day,ON,ON,OFF,64.05
Corridor,84,22.52,69.98,No,Night,OFF,OFF,OFF,35.28
Corridor,44,28.01,75.46,No,Day,ON,ON,ON,59.98
Floor,6,18.59,72.52,Yes,Night,ON,ON,ON,53.19
Office,44,19.32,31.37,Yes,Night,ON,OFF,ON,40.01
Floor,88,34.39,45.86,Yes,Day,OFF,ON,ON,73.52
Floor,25,33.24,61.88,No,Night,ON,ON,ON,65.04
Floor,69,19.38,30.03,No,Day,OFF,ON,ON,66.92
Corridor,48,31.98,67.32,No,Day,OFF,OFF,OFF,39.7
Meeting Hall,83,19.74,73.44,No,Day,ON,ON,OFF,69.67
Office,17,32.08,33.88,No,Night,ON,OFF,ON,45.21
Meeting Hall,83,33.53,51.56,No,Day,OFF,ON,ON,68.52
Floor,39,20.6,45.14,No,Night,ON,ON,ON,65.22
Floor,17,20.5,77.35,No,Day,ON,ON,ON,66.27
Meeting Hall,46,33.75,46.24,No,Night,ON,OFF,OFF,48.14
Meeting Hall,0,23.12,59.05,Yes,Day,ON,ON,ON,56.84
Meeting Hall,32,26.04,30.45,Yes,Day,OFF,ON,ON,52.71
Floor,38,23.18,71.83,No,Day,ON,OFF,ON,68.2
Floor,22,30.74,31.46,Yes,Day,ON,OFF,OFF,55.66
Office,13,21.59,58.46,No,Day,ON,OFF,OFF,35.15
Office,91,26.4,67.04,No,Night,OFF,ON,OFF,47.97
Floor,84,32.46,49.83,No,Day,ON,ON,ON,81.81
Meeting Hall,43,34.03,31.58,No,Night,OFF,ON,ON,53.09
Meeting Hall,36,24.0,75.04,Yes,Day,OFF,OFF,ON,46.7
Office,70,19.94,48.3,No,Night,ON,ON,ON,53.65
Floor,75,31.76,53.31,No,Day,ON,ON,ON,82.88
Office,36,19.88,70.65,No,Day,ON,ON,OFF,49.77
Office,27,31.25,63.03,No,Night,OFF,ON,ON,37.41
Corridor,6,29.71,46.27,No,Day,OFF,OFF,ON,40.03
Corridor,51,27.82,57.03,No,Day,OFF,OFF,OFF,37.27
